Distance ,Speed ,,,,,
1,800,,,,,
1,800,1.333333333,,800,1.111111111,
2,800,,,1100,2,
2,950,,,,,
2,950,2,,,,
2,950,,,,,
2,1100,,,,,
2,1100,2,,,,
2,1100,,,,,
2,1250,,,,,
2,1250,2,,,,
2,1250,,,,,
2,1400,,,,,
2,1400,2,,,,
2,1400,,,,,
2,1550,,,,,
2,1550,2.333333333,,,,
3,1550,,,,,
3,1700,,,,,
3,1700,2.666666667,,,,
2,1700,,,,,
4,1850,,,,,
3,1850,3.333333333,,,,
3,1850,,,,,
3,2000,,,,,
4,2000,3.666666667,,,,
4,2000,,,,,
4,2150,,,,,
4,2150,4.333333333,,,,
5,2150,,,,,
4,2300,,,,,
4,2300,4.333333333,,,,
5,2300,,,,,
4,2450,,,,,
6,2450,5.333333333,,,,
6,2450,,,,,
5,2600,,,,,
6,2600,5.666666667,,,,
6,2600,,,,,
5,2750,,,,,
5,2750,5,,,,
5,2750,,,,,
6,2900,,,,,
5,2900,5.666666667,,,,
6,2900,,,,,
,,,,,7,3050
1,800,,,,,
1,800,1,,,,
1,800,,,,,
1,950,,,,,
1,950,1.333333333,,,,
2,950,,,,,
2,1100,,,,,
2,1100,2,,,,
2,1100,,,,,
2,1250,,,,,
2,1250,2,,,,
2,1250,,,,,
2,1400,,,,,
2,1400,2,,,,
2,1400,,,,,
2,1550,,,,,
2,1550,2,,,,
2,1550,,,,,
3,1700,,,,,
3,1700,3,,,,
3,1700,,,,,
4,1850,,,,,
4,1850,3.666666667,,,,
3,1850,,,,,
4,2000,,,,,
4,2000,3.666666667,,,,
3,2000,,,,,
3,2150,,,,,
5,2150,4.333333333,,,,
5,2150,,,,,
6,2300,,,,,
5,2300,5,,,,
4,2300,,,,,
5,2450,,,,,
5,2450,4.666666667,,,,
4,2450,,,,,
5,2600,,,,,
6,2600,5.333333333,,,,
5,2600,,,,,
7,2750,,,,,
7,2750,7,,,,
7,2750,,,,,
6,2900,,,,,
7,2900,6.666666667,,,,
7,2900,,,,,
6,3050,,,,,
6,3050,6.333333333,,,,
7,3050,,,,,
8,3200,,,,,
7,3200,7.666666667,,,,
8,3200,,,,,
,,,,8,3350,
1,800,,,,,
1,800,1,,,,
1,800,,,,,
2,950,,,,,
2,950,2,,,,
2,950,,,,,
2,1100,,,,,
2,1100,2,,,,
2,1100,,,,,
3,1250,,,,,
3,1250,3,,,,
3,1250,,,,,
3,1400,,,,,
2,1400,2.333333333,,,,
2,1400,,,,,
3,1550,,,,,
3,1550,3,,,,
3,1550,,,,,
3,1700,,,,,
2,1700,2.666666667,,,,
3,1700,,,,,
4,1850,,,,,
4,1850,4,,,,
4,1850,,,,,
5,2000,,,,,
4,2000,4,,,,
3,2000,,,,,
4,2150,,,,,
5,2150,4.666666667,,,,
5,2150,,,,,
5,2300,,,,,
5,2300,5,,,,
5,2300,,,,,
5,2450,,,,,
5,2450,5.333333333,,,,
6,2450,,,,,
5,2600,,,,,
6,2600,5.666666667,,,,
6,2600,,,,,
5,2750,,,,,
5,2750,5,,,,
5,2750,,,,,
6,2900,,,,,
6,2900,6,,,,
6,2900,,,,,
,,,,5,3050,
4,1800,,,,,
3,1800,3.333333333,,,,
3,1800,,,,,
4,1950,,,,,
4,1950,4,,,,
4,1950,,,,,
4,2100,,,,,
5,2100,4.666666667,,,,
5,2100,,,,,
5,2250,,,,,
5,2250,5.333333333,,,,
6,2250,,,,,
6,2400,,,,,
6,2400,6,,,,
6,2400,,,,,
7,2550,,,,,
6,2550,6.333333333,,,,
6,2550,,,,,
6,2700,,,,,
6,2700,6,,,,
6,2700,,,,,
6,2850,,,,,
6,2850,6,,,,
6,2850,,,,,
6,3000,,,,,
6,3000,6.5,,,,
6,3000,,,,,
7,3150,,,,,
7,3150,7,,,,
7,3150,,,,,
3.5,1800,,,,,
3,1800,3.666666667,,,,
4.5,1800,,,,,
4.5,1950,,,,,
4.5,1950,4.5,,,,
4.5,1950,,,,,
5,2100,,,,,
4.5,2100,4.833333333,,,,
5,2100,,,,,
5,2250,,,,,
5,2250,5,,,,
5,2250,,,,,
5,2400,,,,,
5,2400,5,,,,
5,2400,,,,,
5,2550,,,,,
5,2550,5,,,,
5,2550,,,,,
5,2700,,,,,
5,2700,5,,,,
5,2700,,,,,
5.5,2850,,,,,
5.5,2850,5.5,,,,
5.5,2850,,,,,
6,3000,,,,,
6,3000,6,,,,
6,3000,,,,,
6.5,3150,,,,,
6.5,3150,6.5,,,,
6.5,3150,,,,,
3,1800,,,,,
4,1800,3.666666667,,,,
4,1800,,,,,
3.5,1950,,,,,
2.5,1950,3,,,,
3,1950,,,,,
4,2100,,,,,
4,2100,3.833333333,,,,
3.5,2100,,,,,
5,2250,,,,,
5,2250,5,,,,
5,2250,,,,,
5.5,2400,,,,,
5.5,2400,5.5,,,,
5.5,2400,,,,,
5.5,2550,,,,,
6,2550,5.833333333,,,,
6,2550,,,,,
6,2700,,,,,
6,2700,6.166666667,,,,
6.5,2700,,,,,
6.5,2850,,,,,
6.5,2850,6.5,,,,
6.5,2850,,,,,
7,3000,,,,,
6.5,3000,6.666666667,,,,
6.5,3000,,,,,
6.5,3150,,,,,
6.5,3150,6.5,,,,
6.5,3150,,,,,
5,2500,,,,,
5,2500,4.833333333,,,,
4.5,2500,,,,,
5,2650,,,,,
5,2650,5.333333333,,,,
6,2650,,,,,
6.5,2800,,,,,
7,2800,6.833333333,,,,
7,2800,,,,,
7,2950,,,,,
7,2950,7,,,,
7,2950,,,,,
7.5,3100,,,,,
7,3100,7.333333333,,,,
7.5,3100,,,,,
6.5,3100,,,,,
6.5,3100,6.666666667,,,,
7,3100,,,,,
7.5,3250,,,,,
8,3250,8,,,,
8.5,3250,,,,,
8,3400,,,,,
8.5,3400,8.333333333,,,,
8.5,3400,,,,,
9,3550,,,,,
9.5,3550,9.333333333,,,,
9.5,3550,,,,,
9.5,3700,,,,,
10,3700,9.666666667,,,,
9.5,3700,,,,,
9.5,3850,,,,,
9.5,3850,9.666666667,,,,
10,3850,,,,,
9.5,4000,,,,,
9.5,4000,9.5,,,,
9.5,4000,,,,,
10,4150,,,,,
10,4150,10,,,,
10,4150,,,,,
10,4300,,,,,
10,4300,10,,,,
10,4300,,,,,